post_id,target,implied_statement
14317,white people,White people are unfairly condemned for slavery.
3633,Black folks or other non-white individuals,Black folks or other non-white individuals lack accomplishments and thus do not deserve the same privileges
3204,People of color,People of color are dangerous
2857,white working class communities,white working class communities are unworthy
15698,Mexicans,Mexicans take money from America
11094,Immigrants or non-white individuals,Immigrants or non-white individuals are a threat or danger to the nation.
375,Muslims,Muslims are a threat or are invading
5847,non-white Americans,non-white Americans are a threat
7165,non-white individuals,non-white individuals are less desirable or less trustworthy
7130,non-white Americans,non-white Americans will not survive
19551,undocumented immigrants,undocumented immigrants are a burden
12069,Non-white individuals or immigrants,Non-white individuals or immigrants are a threat to national identity.
10120,ethnic Norwegians,ethnic Norwegians are aggressive invaders
5854,Non-white folks,Non-white folks are inferior
11541,Jews,Jews are stratified by social and economic status
9942,White people,White people are unfairly targeted.
795,Jews,"Jews are powerful and manipulative, controlling key sectors of society."
13748,Mexicans,Mexicans are a threat
7580,Black folks,Black folks commit murder and rape against white women
20710,Muslims,Muslims are extremists and their religious practices are harmful
15046,Interracial couples,Interracial relationships are harmful.
20255,Immigrants,Immigrants are a problem that needs to be dealt with.
20219,illegal immigrants,Illegal immigrants take advantage of U.S. taxpayers
8077,Immigrants,Immigrants cost tax dollars
5544,White people,White people are despised
20207,Muslims and Refugees,Muslims and Refugees are threats that need to be eliminated.
16670,Jews,Jews are divided based on political beliefs and are not a cohesive group
20081,"Italians, White people, Mexicans, Jews, and Black people","Italians, White people, Mexicans, Jews, and Black people are being stereotyped or dismissed based on their ethnicity or religion."
18438,White Americans,White Americans are trying to maintain their dominance
18051,Jews,Jews are associated with white supremacy
3372,Black folks,Black folks are a threat or problematic to white people
16791,non-Americans or immigrants,non-Americans or immigrants are inferior
6915,Jews,Jews are weak
13071,non-white immigrants,non-white immigrants are violent
20458,Immigrants,Immigrants are criminals and should be deported
1541,Immigrants or people of color,Immigrants or people of color are a threat to the white race
13159,Non-Aryans,Non-Aryans are inferior
10430,non-whites,non-whites need welfare
20301,President and the administration,President and the administration need to be removed or eliminated
14435,non-Aryans,non-Aryans are not worthy of inclusion
8485,non-white individuals,non-white individuals are more likely to be criminals
19613,black folks,black folks will not get what they want or deserve
13587,undocumented immigrants,Immigrants are a threat.
3213,white nationalists,white nationalists are easily manipulated
9380,Non-white people,Non-white people are threatened by white supremacy
14719,non-white people,non-white people are less privileged
821,White folks,White folks are blamed for the failures of Black folks
19117,politicians/economists,Politicians/Economists create problems
11356,Mexicans,Mexicans are inferior to white people
12984,non-whites,Non-whites help their own
2808,Low-income individuals or welfare recipients,Low-income individuals or welfare recipients are a burden on taxpayers and commit crimes
1471,Jews,Jews have a destructive agenda
19973,Immigrants,Immigrants are aggressive and noisy
1198,White people,White people are being victimized
12810,White Americans,White Americans are commonly disliked
18491,Muslims,Muslims do not actively oppose extremism
11935,non-white folks,non-white cultures are inferior
9341,Muslims,Muslims are overly sensitive
16464,DACA recipients,DACA recipients are essential for the economy
12057,Jews,Jews perpetrate an anti-white agenda
1169,African immigrants,African immigrants are threatening or dangerous
783,People of color,People of color are targeted by racist Christians.
17863,Jews,Jews are not white
17827,Immigrants,Immigrants are not entitled to the same rights or benefits as native-born citizens.
19651,Black folks,Black folks are uneducated
7009,Whites,Whites are being displaced by policies
3631,non-white people or immigrants,non-white people or immigrants are not good for multiculturalism
20050,lesbian butch women,lesbian butch women are often mistaken for men due to their masculine traits
12896,white people,white people are evil
14990,Hispanic folks,Hispanic folks are disloyal or unpatriotic
13914,Jews,Anti-Semites are obsessed with homosexuality
7995,Immigrants,Immigrants are welfare-dependent
3717,Muslims,Muslims are a threat
15493,white people,white people are under attack
19451,White people,They want white people to die out and be replaced
15561,non-white people or immigrants,non-white people or immigrants are a threat to the existence of white people
20716,Immigrants,"Immigrants come to the country and act without regard for rules or regulations, causing financial strain on the native population."
16697,Jews,Jews kill babies
5258,Black folks,Black folks are anti-American
1285,White people,White people are losing their dominance
17994,White folks,White folks are not allowed to have pride in their race
9337,Non-white people,Non-white people are causing a decline in white status or identity.
8576,Jews,Jews were saved by white supremacists
19813,Liberals,Liberals are weak
9288,Non-European immigrants,Non-European immigrants are harmful
12878,non-white individuals,non-white individuals are inferior
19435,Muslims,Muslims are harmful and do not contribute positively to society
254,White people,White people are being targeted for genocide.
11509,Black men,Black men are interested in beefy white women
12925,People of color or minorities,People of color or minorities are inferior or subordinate
12067,Black folks,Black folks are dishonest
12352,Non-southern white people,Non-southern white people are ineffective.
16443,Black folks,Black folks are dependent on whites
20358,Immigrants,Immigrants are traitors
20263,Immigrants,Immigrants do not belong
6012,Black folks,Black folks are more prejudiced
17834,White people,White people are being eliminated
6075,Jews,Jews have interests that are in conflict with the majority's interests.
4817,white people,Diversity initiatives aim to eliminate white people
12130,white people,white people are scared of religious freedom
6386,Trump supporters,Trump supporters are not intelligent
20732,Political opponents,Political opponents are unwanted.
12343,non-white people,non-white civilizations are less civilized and prosperous
5499,non-white individuals,non-white individuals are a threat and are attempting to conquer or overtake white individuals
13459,feminists,feminists hate men and blame the white race for all problems
19699,Lower-class individuals,Lower-class individuals are uncivilized and wild
13488,Black folks,Black folks are less intelligent
7909,White people,White people are held to a different standard
2758,non-white people,non-white people do not belong
19259,Residents of California,Residents of California are responsible for the state being in a poor condition
18118,Black South Africans,Black South Africans are a threat
8691,Jews,Jews are responsible for the genocide of white people
6211,White people,White people are targeted for harm
5725,white males,white males' views are not valuable
17249,Jews,Jews control others
1874,Non-white individuals,Non-white individuals are lesser beings.
7842,White people,White people who self-hate are mentally ill
12534,Black folks,"Black folks are entering the country in large, unwanted numbers"
7386,white supremacists / separatists / nationalists,white supremacists / separatists / nationalists are prevalent and active
5164,White supremacists,White supremacists are ridiculous
2849,white men,white men are cowardly
19418,Black people,Black people are uneducated and ignorant
20535,Immigrants,Immigrants are unwanted
20896,Young socialists or communists,"Young socialists or communists are weak, unpatriotic, and a threat to the country's values and constitutional rights"
15824,black South Africans,Black South Africans are causing harm
15716,whites,whites are made to feel guilty
8487,non-white immigrants,non-white immigrants are unwanted
16494,Arabs,Arabs are overrepresented
19765,Liberals,Liberals are vulgar and ridiculous
20457,Immigrants,Immigrants commit severe crimes
9779,Southerners,Southerners cause division
4231,Jews,Jews bring non-white people into white areas and call for white genocide while silencing opposition.
18792,Immigrants,Immigrants are a threat to the white working class
12802,Jews,Jews are a threat
5677,Muslims,Muslims are evil
12218,Jews,Jews are deceptive
13168,christian white nationalists,christian white nationalists are violent and dangerous
6471,Black folks,Black folks are used for deception
20782,white women,white women do [undesirable action]
8696,Jews and White people,"Jews are dominant and controlling, and White people are being systematically eliminated"
16411,non-white people,non-white people are less desirable
20136,Muslims,Muslims are associated with terrorism
4374,Immigrants,Immigrants take advantage
19836,Black folks,Black folks are associated with dark magic
19814,people who disagree with the speaker,people who disagree with the speaker are racists
20142,Immigrants,Immigrants are criminals
11992,LGBTQ+ individuals,"LGBTQ+ individuals are not trustworthy, especially with children"
6719,Jews,Jews are always right in arguments
6730,Latino/Latina immigrants,Latino/Latina immigrants cross the border illegally
15245,Muslims,Muslims are a threat and are infiltrating positions of power
19542,Immigrants from developing countries,Immigrants from developing countries are a threat to Western civilization and will replace the current population
19143,White people,White people are responsible for Africa not being a developed land.
7246,Non-white people,Non-white people are displacing white people
12230,Non-white individuals,Non-white individuals did not contribute to building America
523,Jews,Jews are manipulative
932,White people,White people are unfairly targeted by these organizations.
12861,White people,White people are being targeted for elimination and cultural erasure.
13793,Non-white people,Non-white people are inferior
3584,Muslims,Muslims are dangerous or problematic
16029,non-white people,non-white people are outsiders
4696,Immigrants,Immigrants undermine social cohesion
6126,Jews,Jews commit genocide
9143,Black folks,Black folks are exaggerating their concerns.
19347,Chinese people,Chinese people cause overpopulation
1076,White people,White people should support their own racial interests
9983,non-white individuals,non-white individuals are a threat to the existence of white people
19272,Black folks,Black folks are untrustworthy
16870,Alt-right,Alt-right are condemned
10021,Non-white people,Non-white people are a threat to the white race
9861,Jews,Jews benefit from white nationalism
14800,Black folks,Black folks cause societal decline or conflict
3678,non-white individuals,non-white individuals are a threat
12058,Chinese asylum seekers and non-Mexican immigrants,Chinese asylum seekers are deceitful and non-Mexican immigrants are a threat
20623,Immigrants,Immigrants are a financial burden and commit crimes
20657,Individuals with mental health issues or disabilities,Individuals with mental health issues or disabilities are unstable or dangerous
3690,Muslims,Muslims do not vote for BJP
18086,African migrants,African migrants are taking over property
12815,Racial justice activists,Racial justice activists are hostile towards white people
8509,Iranians,Iranians are more dangerous or harmful than ISIS
78,White folks,Anti-racists are hostile towards white folks
477,white people,white people do not feel guilty about being white
6093,White people,Israel plans to harm White people
2742,White people,White people engage in incestuous behavior
16623,South African police officers,South African police officers commit sexual assault
3447,Jews,Jews instigate wars
6964,Refugees,Refugees are undeserving of sympathy
5325,White people,White people are brainwashed into denigrating their own race.
10183,Immigrants,Immigrants take jobs and commit crimes
6570,white and black people,white and black people are immigrants
17257,Muslims,Muslims are a threat
11568,White nationalists,White nationalists are harmful
1025,White people,White people are being ridiculed or dismissed.
8896,non-white people,non-white people are inferior or undesirable
5652,white men,white men are privileged
10581,Mexicans,Mexicans are inferior
14625,Immigrants,Immigrants are invading
18632,Mormons,Mormons are white and reproduce quickly
4848,Conservatives,Conservatives are hypocritical.
17931,Liberals,Liberals are morally corrupt
685,White people,White people are racist
20210,Immigrants,Immigrants are illegal and associated with criminal activity
16671,Muslims,Muslims are taking over
3604,White school teachers,White school teachers are overrepresented.
19325,undocumented immigrants,undocumented immigrants are not deserving of the same consideration as U.S. citizens
15746,People of European ancestry,People of European ancestry need to redefine and assert their identity.
5131,Muslims,Muslims kill people except during Ramzan
6574,Jews who identify as White,Jews who identify as White are hypocritical and use their dual identity to criticize Whites
11819,Jews,"Jews are hostile and contemptuous towards white people and their civilization, and Jews are at war with whites"
2990,Muslims,Muslims are a means to exert control
6760,Black males,Black males kill white cops
12515,Non-white people,Non-white people are uncivilized.
20796,Law enforcement or military personnel,Law enforcement or military personnel should use their guns
8278,White people,White people are being marginalized.
2773,Black folks,Black folks are a threat
8849,Jews,Jews are hypocritical.
17972,White folks,Black politicians are a threat to White folks
16218,Jews,Jews plan to harm whites.
1560,Liberals or progressives,Liberals or progressives are not rational or clear-minded
12868,Black people,Black people are violent towards each other
5691,Muslims,Muslims are intolerant of non-Muslims
13632,Muslims,Muslims kill Christians and Jews
20288,Immigrants,Immigrants are a problem
918,Muslims,Muslims are more likely to be arrested or involved in criminal activities
10600,black males,black males are misogynistic and have a bias against white women
889,non-white individuals,non-white individuals are not welcome
5419,White Americans,White Americans are becoming irrelevant
18175,Black folks,Black folks have extreme hatred for whites and want separate states.
11436,White people,White people are not valued
2079,Jews,Jews are manipulative and racist
15258,non-white individuals,non-white individuals are not legitimate nationalists or patriots
16439,white liberals,white liberals are immoral evil people
3120,conservatives,conservatives are morally and intellectually inferior
17049,Black folks,Black folks are dangerous or criminal
2753,Jews,Jews are different or incompatible with the white group.
19960,Muslims,Muslims kill cows
17106,White people,White people are white supremacists and should give restitution
512,non-white individuals,non-white individuals are less capable or less involved in infrastructure
5139,Anti-fascist activists,Anti-fascist activists are cowardly and commit vandalism
7584,White folks,White folks are under threat
20801,Immigrants,Immigrants commit crimes
10420,Immigrants,Immigrants are dangerous
9723,Muslims,Muslims should abandon their religion
1607,Immigrants,Immigrants are easily defensible.
9395,non-white individuals,non-white individuals are being excluded
19837,Black or Latino/Latina folks,Black or Latino/Latina folks have lower math scores
9289,Black folks,Black folks are subservient to white people
10289,white people or Christians,Christianity is a religion for white people
18029,White folks,White folks will disappear.
15688,non-white individuals or immigrants,non-white individuals or immigrants cause tension
20113,Immigrants,Immigrants should be removed
20031,Hispanics,Hispanics are a hindrance to progress
3559,people of color,people of color are a threat
11566,Muslims,Muslims are taking over and causing genocide
8441,Jews,Jews promote and fund racial hatred
19466,Black folks,Black folks are not good at math or science
19922,White folks or Trump supporters,"White folks or Trump supporters are loud, aggressive, and entitled."
2243,Jews,Jews are targeted for persecution
10962,Black folks,Black folks are a problem
535,Atheists,Atheists take away religious freedoms
5767,Democrats,Democrats create violence
18566,Christians,Christians are being marginalized or excluded
6683,people of color,people of color are inferior
16752,Muslims,Muslims commit rape
2924,anti-racism groups,Anti-racism groups are against white people
11604,Muslims and liberals,Muslims and liberals are divisive
16758,Black people,Black people are taking over and causing harm to white people
9191,White British people,Non-white groups are causing the decline of the white British population
489,Muslims,Muslims celebrate killing Jews
8310,Muslims,Muslims are a threat
469,People of color,People of color are inferior
15376,Muslims,Muslims are involved in deceptive activities
5021,Non-whites,Non-whites are inferior
2097,Immigrants,Immigrants make America less safe
3337,Jews,Jews spread fear or paranoia about a future catastrophic event
16785,White families,White families are not to blame for America's problems
20286,Dreamers,Dreamers should not receive special consideration
2192,conservatives,conservatives are weak and not true to their beliefs
4685,white people,white people have trivial or unimportant interests
19743,Immigrants,Immigrants lack initiative
3728,white people,white people are not needed
15174,LGBTQ+ community,LGBTQ+ community are harmful or dangerous to religious institutions
19498,Immigrants,Immigrants cause societal decline
6312,Democrats,Democrats are racist and biased towards whites
10814,non-white individuals,non-white individuals have many children
6789,non-white individuals,non-white individuals are recent arrivals
19999,Muslims,Muslims are a problem that needs to be eliminated
14451,illegal aliens and refugees,illegal aliens and refugees commit crimes
19914,Immigrants,Immigrants are not intelligent and are a burden
11866,Immigrants or people of color,Immigrants or people of color are a threat to Europe
12482,Jews,Jews fund radicals and control media to push propaganda
13204,Black folks,Black folks are being imitated
15976,Conservatives who are perceived as betraying their values by supporting racial equality,Conservatives who are perceived as betraying their values by supporting racial equality are not truly conservative
12318,Refugees,Refugees are unwanted
3781,Muslims,Muslims are dangerous and unwelcome
15996,Jews,Jews are overly sensitive and have peculiar behaviors regarding capitalization.
15853,White people,White people are ridiculous
6604,Black folks,Black folks commit violent acts for enjoyment
8801,Non-white people or their supporters,Non-white people or their supporters are uncaring
19667,"Immigrants, Muslims, or LGBTQ+ individuals",[GROUP] are morally depraved.
19900,Muslims,Muslims are primitive or backward and should be eliminated or removed.
16229,Non-white Americans,Non-white Americans do not support nationalism.
974,Muslims,Muslims are racist
7226,Non-white people,Non-white people are inferior.
9978,diversity advocates,Diversity advocates erase white people
2884,skinheads,Skinheads are more racist
11047,White South Africans,White South Africans are gradually facing increasing danger
11601,Muslims,Muslims torture Christians in their own churches
3387,Muslims,"Muslims commit subjugation, abuse, and violence"
15294,African Americans,"African Americans have lower intelligence, commit more crimes, and have more fatherless households"
18766,White people,[GROUP] are planning to shoot white people
17433,non-white groups,non-white groups are inferior
12460,Muslims,Muslims are killers
19703,Muslims,"Muslims are the result of inbreeding, have low IQ, and are intent on destroying the Christian-based West."
20349,Immigrants,Immigrants are a threat that should be shot at
3940,non-white individuals,non-white individuals are inferior
20575,Muslims,Muslims are violent and oppressive
20665,Muslims,"Muslims are a threat to peace and are bad, and they should be removed"
12077,Black folks,Black folks are irrational or overly emotional
19678,Immigrants,Immigrants are unwanted and should leave
19815,Women in a misogynist religion,Women in this religion are oppressed and live in slavery
10380,Non-white immigrants,Non-white immigrants are a threat.
16524,White people,White people are being systematically harmed or eliminated
19685,Black folks,Black folks are not human and are unattractive
9393,White people,White people are superior
5827,White people,White people are under attack
4230,Jews,Jews are white nationalists
20915,Muslims,Muslims are a problem and need to be removed
20685,undocumented immigrants,undocumented immigrants are here for opportunistic reasons
15989,Jews,Jews are associated with negative or mocking behavior
925,Interracial couples,Interracial couples threaten societal norms
19457,Muslims,Muslims are violent
14760,non-white people,non-white people are targeted by hate symbols
9599,Black folks,Black folks are violent
1736,Polish immigrants,Polish immigrants are less desirable
8390,Jews,Jews have an agenda
3465,White folks,Non-white folks are harmful
15033,Black folks,Black folks cannot thrive in their own countries
2208,Immigrants,Immigrants are illegal
17169,non-white individuals,non-white individuals are undesirable
17506,White people,Whites who support race mixing and lack ethnic pride are useless
