post_id,target,implied_statement
20714,Immigrants,Immigrants are undesirable and need to be removed
16317,Liberals and Undocumented Immigrants,Liberals are disgusting and Undocumented Immigrants are criminals
11774,non-whites,non-whites are treated unfairly
4396,non-white people,non-white people are inferior
14268,non-white groups,non-white groups are a threat
19492,Christians,Christians are unintelligent
17990,Jews,Jews exploit the Holocaust for personal gain
21408,Black folks and Asian folks,Interracial relationships between Black and Asian individuals are unacceptable and disgusting
14317,Muslims,Muslims are responsible for slavery
3633,Non-white people,Non-white people are less successful due to lack of hard work and achievements
3204,non-white individuals,non-white individuals are less capable or unsuitable for police work
21289,Black folks,Black folks are less than human
2857,white working class communities,white working class communities are harmful
11094,"Immigrants, Muslims, Jews, People of color","Immigrants are a threat, Muslims are inferior, People of color are inferior, Jews control the media"
375,Muslims,Muslims are invading
5847,non-white groups,non-white groups are a constant threat to white Americans
7165,Non-white individuals,Non-white individuals are inferior
7130,non-white groups,non-white groups are inferior and should not survive
19551,Immigrants,Immigrants are a burden
10120,The speaker's own group,Ethnic Norwegians are aggressive and violent
5854,non-white individuals,non-white individuals are inferior
11541,Jews,Jews are divided by class
20993,Black folks,Black folks are worthless
9942,"White people, particularly those from the southern region",White people are being unfairly criticized and controlled by wealthy liberals
13748,Mexicans,Mexicans are a threat
7580,Non-white individuals,Non-white individuals commit violent crimes against white women
20710,Muslims,Muslims are extremists
15046,Interracial couples,Interracial couples are a threat to societal norms and traditions
20219,illegal immigrants,illegal immigrants are taking advantage of the system
8077,Undocumented immigrants,Undocumented immigrants are a financial burden
5544,Mixed-race individuals,Mixed-race individuals are inherently problematic or undesirable
20207,Refugees,Refugees are dangerous
16670,Jews,Jews are not authentic based on their political beliefs
20081,"Italians, White people, Mexicans, Jews, and Black people","Italians, White people, Mexicans, Jews, and Black people are stereotypically labeled and reduced to their ethnic or religious identities"
18438,Jews,Jews are a threat
18051,Jews,Jews are complicit in white supremacy
3372,Black folks,Black folks need to be separated from white people
16791,non-Americans or immigrants,non-Americans or immigrants are inferior
6915,People who wear beanies,People who wear beanies are weak or foolish
13071,non-white immigrants,non-white immigrants are violent
20458,Immigrants,Immigrants are criminals and should be deported
1541,Non-white individuals or groups,Non-white groups are a threat to the purity of the white race
21181,People who use wheelchairs,People who use wheelchairs are less capable or less human
13159,Black folks and Jews,Black folks and Jews are inferior and should be submissive
20301,Immigrants,Immigrants are a threat
14435,non-white individuals,non-white individuals are inferior
8485,Non-white individuals,Non-white individuals commit crimes
19613,African Americans,African Americans' political agency is undermined and their concerns are dismissed as trivial
21140,Jews,Jews are killed
13587,Immigrants,Immigrants are a threat
21060,Non-white people,Non-white people are animals
3213,Jewish people and white nationalists,Jewish people are manipulative and white nationalists are being unfairly treated
9380,non-white individuals,non-white individuals are inferior
821,Black people,Black people are responsible for their own failures
20874,Muslims,Muslims commit violent acts
11356,non-white individuals or societies,non-white societies are inferior or less desirable
12984,Whites,Whites do not help their own
2808,People who receive food stamps,People who receive food stamps are a financial burden on taxpayers
21277,Feminists,Feminists are incompetent
1471,Jews and Immigrants,Jews are responsible for negative societal changes and Immigrants are a threat to Europe
19973,Immigrants,Immigrants are stubborn and foolish
1198,White people,White people are victimized
12810,white Americans,white Americans are commonly disliked
20875,white kids,white kids are targeted for violence
18491,Muslims,Muslims are extremists
11935,non-white cultures or people,non-white cultures are less desirable or less advanced
9341,Muslims,Muslims are overly sensitive
16464,Immigrants,Immigrants are not beneficial to the economy
12057,Jews,Jews are conspiring against white people
1169,African immigrants,African immigrants are threatening
17863,Jews,Jews are not white
17827,Immigrants,Immigrants are not entitled to the same rights and benefits as native-born individuals
19651,Black folks,Black folks are uneducated
7009,white people,white people are being disadvantaged or displaced
3631,Non-white people/Immigrants,Non-white people/immigrants are a threat to white people
20050,Lesbians who present as masculine,Lesbians who present as masculine are not truly women and are somehow less feminine or less acceptable.
12896,White people,White people are evil
14990,Hispanic folks,Hispanic folks cause instability
13914,Alt-right Nordic warrior anti-Semites who support Trump,Alt-right Nordic warrior anti-Semites who support Trump are fixated on homosexual practices
7995,Immigrants,Immigrants are welfare dependent
3717,Muslims,Muslims are dangerous
15493,White people,Non-white people are attacking white people
19451,white people,white people should be replaced with a group perceived as inferior and meant for labor
15561,Non-white people,Non-white people are a threat
20961,Black men,Black men are associated with slavery and imprisonment
20716,Immigrants,Immigrants are entitled and a financial burden
16697,Jews,Jews kill babies
5258,Black folks,Black folks are unpatriotic
1285,Non-white people,Non-white people are causing the decline of the white race
17994,White folks,White folks should not express pride in their race
9337,non-white individuals,non-white individuals are inferior or a threat
8576,Jews,Jews should be grateful to white supremacists.
19813,Liberals,Liberals are weak
9288,Black folks,Black folks are problematic
12878,Non-white people,Non-white people are inferior
19435,Muslims,Muslims are harmful
254,Women and White people,Women are immoral. White people are under threat.
11509,Black men,Black men have a preference for beefy white women
20451,undocumented immigrants,Undocumented immigrants commit crimes
12925,non-white individuals,non-white individuals are inferior and should be dominated or suppressed
7537,Muslims,Muslims are violent
13001,Muslims,Muslims are anti-Jewish
12067,Black folks,Black folks are violent and the Black Lives Matter movement is dishonest
12352,non-white southerners,non-white southerners are ineffective
16443,African Americans,African Americans are financially dependent
20358,Women in positions of power,Women in positions of power are untrustworthy and dangerous
20263,Immigrants,Immigrants are unwanted and should be forcibly removed.
6012,Black people,Black people are more racist
17834,White folks,White folks are being eliminated
6075,Jews,Jews are disloyal
4817,white people,diversity initiatives are harmful to white people
20732,Political figures or a political party,Political figures or a political party are unwanted and should be removed
12343,Non-white groups,Non-white groups are less civilized
5499,Non-white people,Non-white people are a threat
20371,Social justice advocates,Social justice advocates are violent
13459,Feminists,Feminists hate men and blame the white race for societal problems
19699,Poor people,Poor people are dangerous and uncontrollable
7909,White people,White people are judged more negatively for their actions
2758,Non-white individuals,Non-white individuals are excluded
18118,Black folks,Black folks are a threat
8691,Jews,Jews are responsible for white genocide
6211,White people,White people are targeted for elimination
5725,White males,White males' views are irrelevant
17249,Jews,Jews are manipulative and exploitative
1874,non-white individuals,non-white individuals are inferior
7842,White people who are self-critical about their racial identity,White people who are self-critical about their racial identity are mentally ill
12534,Immigrants,Immigrants are a burden similar to slaves
5164,Non-white races,Non-white races are inferior
2849,white men,white men are overly fearful
19418,Black folks,Black folks are inferior and deserve harm
20535,Immigrants or refugees,Immigrants or refugees are unwanted or a threat
20896,Socialists and Communists,"Socialists and Communists are weak, unpatriotic, and a threat to the country's values and freedoms."
15824,Black South Africans,Black South Africans cause harm to the white community
8487,Non-white immigrants,Non-white immigrants are a threat to the demographic makeup of Britain
16494,Arabs,Arabs are not truly white and are only counted as such for statistical convenience
19765,Liberals or progressives,"Liberals or progressives are irrational, dishonest, and disruptive"
20457,Immigrants,Immigrants deserve severe punishment
9779,African Americans,African Americans cause division
4231,Jews,Jews are responsible for demographic changes and are actively working towards the destruction of white populations.
18792,non-white individuals and other socio-economic classes,non-white individuals and other socio-economic classes are a threat
11959,non-white races and non-Hindu religious groups,non-white races and non-Hindu religious groups are inferior and dangerous
12802,Jews,Jews are a threat to the white race or are inferior
5677,Muslims,Muslims are inherently evil
13168,Christian white nationalists,Christian white nationalists are a threat
21456,Muslims,Muslims commit beheading
6471,Black folks,Black folks are used as tools for trolling or deception
20782,white women,white women should not be visible
8696,Jews,Jews are supremacists
16411,non-white individuals,non-white individuals are less desirable
20136,Muslims,Muslims are extremists
4374,Undocumented Immigrants,Undocumented Immigrants are a financial burden
19836,Black folks,Black folks are associated with mystical or magical abilities
19814,People who disagree with the speaker on racial issues,People who disagree with the speaker are racist
20142,Undocumented Immigrants,Undocumented Immigrants are dangerous
11992,LGBTQ+ individuals,LGBTQ+ individuals are untrustworthy around children
6719,White men,White men are inherently racist
21374,Asian gay men,Asian gay men are overly feminine
6730,Immigrants from Mexico,Immigrants are a problem
15245,Muslims,Muslims are infiltrating the government
19542,Immigrants from developing countries,Immigrants from developing countries are destructive and not worthy of concern
19143,White people,White people cause underdevelopment
7246,non-white individuals,non-white groups are displacing whites and are a threat to white dominance
21082,Depressed people,Depressed people commit suicide
12230,Non-white Americans,Non-white Americans did not contribute to the development of America
523,Jews,Jews manipulate white nationalism
932,White people,White people are unfairly targeted by organizations like ADL and SPLC
12861,Non-white people,Non-white people are inferior and lack culture
13793,Non-white folks,Non-white folks are inferior or a threat
3584,Muslims,Muslims are dangerous
16029,Non-white people,Non-white people are excluded
12328,Immigrants,Immigrants are targeted by hate groups
4696,Immigrants,Immigrants are a threat to social harmony
20475,Muslims,Muslims are cowards and commit terrorism
6126,Jews,Jews are responsible for historical atrocities
9143,Black folks,Black folks are overreacting
19347,Chinese people,"Chinese people are associated with overpopulation, authoritarian governance, pollution, and social control."
1076,Non-white people,Non-white people are inferior
21461,Immigrants,Immigrants are inherently problematic and less than human
9983,Black folks,Black folks are causing a significant threat or realization among white people
19272,Black folks,Black folks are untrustworthy
21478,Women,Women are attracted to criminal behavior and violence rather than intelligence and education.
16870,Moderate conservatives,Moderate conservatives are weak
21169,Black folks,Black folks commit crimes
21359,Women,Women are physically weaker
10021,Non-white populations,Non-white populations are replacing the white race
9861,Jews,Jews are benefiting from white nationalism
21385,Girls,Girls are not capable of physical tasks
14800,Black folks,Black folks are a threat
3678,White people,White people resist change due to fear of losing dominance
12058,Chinese and non-Mexican immigrants,Chinese and non-Mexican immigrants are fraudulent and a hidden threat
20623,Immigrants,Immigrants are criminals and financial burdens
20657,Unspecified marginalized group,[GROUP] are dangerous or inferior
21298,Black folks,Black folks come from broken families
18086,African migrants,African migrants are aggressive and criminal
12815,Anti-Racism Activists,Anti-Racism Activists are against white people.
8509,Iranians,Iranians are extremely violent and commit human rights abuses
20989,Chinese people,Chinese people are exceptionally skilled and capable
78,White folks,Anti-racist efforts are against White folks
477,People who discuss white privilege,Discussions about white privilege are unwarranted
21041,Patients,Patients lack agency
6093,Jews,Jews spy and plot against other races
2742,White people,White people are involved in incestuous relationships
16623,Black folks,Black folks commit serious crimes
3447,Jews,Jews manipulate global events for nefarious purposes
20341,Undocumented immigrants,Undocumented immigrants are dangerous
6964,Refugees,Refugees are undeserving of sympathy
5325,White anti-racism advocates,White anti-racism advocates are acting against their own interests and harming their own racial group
10183,Immigrants,Immigrants are a threat to jobs and national security
6570,Immigrants,Immigrants are outsiders
20299,undocumented immigrants,Undocumented immigrants commit crimes
17257,Muslims,Muslims are a threat
11568,White folks,White folks are harmful
1025,Black folks,Black folks are anti-white
8896,non-white individuals,non-white individuals are harmful to white society
5652,white men,white men are responsible for societal problems
10581,Mexicans,Mexicans are inferior
18632,Mormons,Mormons are white and have high birth rates
4848,Conservatives,Conservatives are hypocritical
21191,Dyslexic individuals,Dyslexic individuals have significant difficulties with letters
21257,Black folks,Black folks are guilty
17931,Hillary Clinton supporters,Hillary Clinton supporters are morally inferior
685,non-white people,non-white people are a threat to white people
20210,Undocumented immigrants,Undocumented immigrants are criminals
20394,Latino/Latina folks,Latino/Latina folks cause problems
16671,Muslims,Muslims are taking over American institutions
3604,Advocates for racial diversity,Advocates for racial diversity are biased against white people
19325,Undocumented Immigrants,Undocumented Immigrants are less important
15746,non-European ethnic groups,non-European ethnic groups are inferior
5131,Muslims,Muslims kill except during Ramadan
6574,Jews and whites,Jews are manipulative and Whites are targets of hate
11819,Jews,Jews are hostile towards whites
19760,Immigrants,Immigrants are lazy and take advantage of resources
2990,Muslims,Muslims use accusations of bigotry to control others
6760,Black folks,Black folks kill white cops
12515,Non-white people,Non-white people are uncivilized
20796,Law enforcement or military personnel,Law enforcement or military personnel are cowardly or incompetent.
5189,Mainstream media and political figures,Mainstream media and political figures are liars and untrustworthy
8278,White people,White people are being systematically replaced or eliminated
2773,Black folks,Black folks are threatened
8849,Jews,Jews are hypocrites
17972,Black folks,Black folks are a threat
16218,Jews,Jews plan to disarm and commit genocide against white people
1560,Non-white people,Non-white people are mentally deficient
12868,Black folks,Black folks are inherently violent
5691,Muslims,Muslims are intolerant towards non-Muslims
13632,Muslims,Muslims kill Christians and Jews
20288,Immigrants,Immigrants are inferior and unwelcome
20473,Immigrants,Immigrants are terrorists
918,Muslims,Muslims commit crimes
10600,Black males,"Black males have a negative attitude towards women, particularly white women"
889,Non-white individuals,Non-white individuals are not genuinely welcome
5419,Non-white Americans,Non-white Americans are causing the decline of white dominance
18175,Black Lives Matter movement,Black Lives Matter movement is anti-white and supports segregation
11436,White folks,White folks are not valued
2079,Jews,Jews control social networks to promote racism against white people
15258,Non-white individuals,Non-white individuals cannot be true nationalists in a predominantly white country
16439,white liberals,white liberals are immoral and evil
21111,Black folks,Black folks are less desirable
17049,Non-white residents,Non-white residents are dangerous
2753,Jews,Jews are different and should be treated separately
19960,Muslims,Muslims kill cows
19942,Muslims,Muslims are a threat
17106,People who accuse white people of being white supremacists,People who accuse white people of being white supremacists are hypocritical and make baseless accusations
512,non-white individuals and women,non-white individuals and women are not capable of or involved in infrastructure development
7584,non-white people,non-white people are a threat to the white race
20801,Immigrants,Immigrants commit crimes
9723,Iranian Muslims,Muslims are inferior and need to be saved by embracing an Aryan identity
1607,Immigrants and minorities,Immigrants and minorities are a threat to national identity and need to be excluded or controlled
9395,Non-white individuals,Non-white individuals are excluded from opportunities
19837,Minority groups,Minority groups are less capable in academic performance
9289,Black folks,Black folks are subservient
18029,White folks,White folks are inferior
15688,Non-white individuals,Non-white individuals are harmful to Western societies
20113,Undocumented immigrants,Undocumented immigrants should be removed
20031,Hispanic folks,Hispanic folks hinder progress
20872,Black folks,Black folks commit crimes
11566,Muslims,Muslims take over governments and cause harm to white populations
8441,Black folks,Black folks are being manipulated to promote hatred
19466,Black folks,Black folks are less capable in math and science
19922,White conservatives or Trump supporters,White conservatives are privileged and entitled
2243,Jews,Jews are a threat and should be targeted with hate and intimidation.
10962,African Americans,African Americans are a problem that needs to be reduced.
535,Atheists,Atheists undermine religious freedoms
5767,Democrats,Democrats cause violence
6683,White Christians,White Christians are racist and against racial mixing
16752,Muslims,Muslims commit rape
2924,Black folks or racial justice activists,Black folks or racial justice activists are biased against white people
11604,Muslims and Liberals,Muslims and Liberals cause division among white people
16758,white people,white people are inferior
9191,Non-white populations,Non-white populations are a threat to white British pupils
489,Muslims,Muslims celebrate violence against Jews
8310,Muslims,Muslims are a threat
469,Non-white individuals,Non-white individuals are inferior
5021,Non-white individuals,Non-white individuals are criminals
2097,Non-white individuals,Non-white individuals are irrelevant to safety concerns
3337,Jews,Jews commission polls
16785,Minorities,Minorities cause problems
20286,Dreamers,Dreamers are undeserving of their status
2192,Conservatives who are seen as not standing up for white interests,Conservatives who are seen as not standing up for white interests are weak and traitorous
3728,White individuals,White individuals are unwanted
19498,Immigrants,Immigrants cause decline
6312,Democratic Party,Democratic Party is racist
10814,non-white immigrants,non-white immigrants have high reproduction rates
21410,Japanese people,Japanese people are collectively responsible for the attack on Pearl Harbor
19999,Muslims,Muslims should be eradicated
14451,Immigrants,Immigrants commit crimes
19914,Immigrants,Immigrants are unintelligent
11866,Non-white individuals,Non-white individuals are dangerous and unwelcome
12482,Jews,Jews control media and finance
13204,Black folks,Black folks are subjected to cultural appropriation
15976,Conservatives,Conservatives are weak
12318,Refugees,Refugees are unwanted
3781,Muslims,Muslims are dangerous and unwelcome
15996,Jews,Jews are overly sensitive about capitalization
15853,white people,white people have negative characteristics or actions that justify hatred towards them
6604,Black folks,Black folks commit violent crimes for enjoyment
8801,Non-white folks,Non-white folks are not worthy of support
19667,Politicians,Politicians are morally corrupt
19900,Muslims or people of Middle Eastern descent,Muslims or people of Middle Eastern descent are inferior and should be eliminated
1625,Black folks,Black folks are becoming increasingly violent and sadistic
21338,People from Indiana,People from Indiana are idiots
16229,non-white Americans,non-white Americans are unpatriotic
974,Muslims and supporters of Islam,Muslims and supporters of Islam are racist
21088,Black folks,Black folks are disrespectful at funerals
7226,Non-white folks,Non-white folks are inferior
21361,Bisexual and Gay people,Bisexual people are not real and gay people use the term 'bisexual' for social convenience.
19441,Jews,Jews cheat the nation of its wealth and resources
9978,Non-white people,Non-white people take opportunities from white people.
2884,Jews,Nazis were not as racist as modern-day skinheads
3955,non-white illegal immigrants,non-white illegal immigrants are dangerous and immoral
11047,White South Africans,White South Africans are vulnerable and need immediate protection
21417,Asian folks and Latino/Latina folks,"Asian folks and Latino/Latina folks have distinct physical traits that make them easily identifiable, are often subjected to assumptions about their ethnic backgrounds based on their appearances, and are not from the United States."
11601,Muslims,Muslims commit violence against Christians
3387,Muslims,Muslims are deceitful and abusive
15294,African Americans,"African Americans are less intelligent, more criminal, and have unstable family structures"
21035,Gay men,Gay men are promiscuous
18766,white people,white people are under threat of being shot
17433,non-white individuals,non-white individuals are inferior
12460,Muslims,Muslims kill those who are Islamophobic
19703,Muslims,Muslims are intellectually inferior and a threat to Western societies
20349,Immigrants,Immigrants are a threat that should be eliminated
3940,non-white individuals,non-white individuals are inferior and their inferiority is justified
20575,Muslims,Muslims are violent and oppressive
20665,Muslims,Muslims are dangerous
12077,Black folks,Black folks are irrational
19678,Immigrants,Immigrants are unwanted
21058,Africans,Africans are disorganized
21017,People with disabilities,People with disabilities were exterminated.
19815,Muslims,Muslims oppress women
10380,Immigrants,Immigrants are invaders
16524,Non-white people,Non-white people are systematically eliminating or replacing white people
19685,Black folks,Black folks are ugly and subhuman
21299,African Americans,African Americans can only succeed in arts and sports
9393,Non-white individuals,Non-white individuals are inferior
5827,White people,The SPLC is a threat to White people
4230,Jews,Jews are white nationalists
20915,Muslims,Muslims are a threat and need to be removed.
20685,Undocumented immigrants,Undocumented immigrants are opportunistic
15989,Jews,Jews are associated with Nazism
19457,Individuals with non-normative sexual behaviors or orientations,ISIL kills non-conformists
9599,Black folks,Black folks commit crimes against white people
15608,Immigrants or Muslims,[GROUP] commit genocide against white people.
1736,Polish people,Polish people are less desirable
8390,Jews,Jews manipulate non-Jews
3465,Interracial couples,Interracial relationships are harmful
20827,Jews,Jews are deceitful and violent
15033,Black folks,Black folks are unsuccessful in non-white countries
2208,Undocumented immigrants,Undocumented immigrants break laws
17169,Non-white individuals,Non-white individuals are undesirable
17506,White people who support interracial relationships and lack ethnic pride,White people who support interracial relationships and lack ethnic pride are inferior and expendable
